uga_id,sector,sub_tipo,type,uga_group,A_m2
1001,S1,Área Verde_P1,irr,N,515.70
1002,S1,Área Verde_P2,irr,N,515.70
1003,S1,Área Verde_P3,irr,N,515.70
1004,S1,Área Verde_P4,irr,N,515.70
1005,S1,Área Verde_P5,irr,N,515.70
1006,S1,Área Verde_P6,irr,N,515.70
1007,S1,Área Verde_P7,irr,N,515.70
1008,S1,Área Verde_P8,irr,N,515.70
1009,S1,Área Verde_P9,irr,N,515.70
1010,S1,Área Verde_P10,irr,N,515.70
2001,S1,Bandejón_P1,irr,N,5676.80
2002,S1,Bandejón_P2,irr,N,5676.80
2003,S1,Bandejón_P3,irr,N,5676.80
2004,S1,Bandejón_P4,irr,N,5676.80
2005,S1,Bandejón_P5,irr,N,5676.80
2006,S1,Bandejón_P6,irr,N,5676.80
2007,S1,Bandejón_P7,irr,N,5676.80
2008,S1,Bandejón_P8,irr,N,5676.80
2009,S1,Bandejón_P9,irr,N,5676.80
2010,S1,Bandejón_P10,irr,N,5676.80
3001,S1,Jardines_P1,irr,N,9404.60
3002,S1,Jardines_P2,irr,N,9404.60
3003,S1,Jardines_P3,irr,N,9404.60
3004,S1,Jardines_P4,irr,N,9404.60
3005,S1,Jardines_P5,irr,N,9404.60
3006,S1,Jardines_P6,irr,N,9404.60
3007,S1,Jardines_P7,irr,N,9404.60
3008,S1,Jardines_P8,irr,N,9404.60
3009,S1,Jardines_P9,irr,N,9404.60
3010,S1,Jardines_P10,irr,N,9404.60
4001,S1,Plaza_P1,irr,N,19642.50
4002,S1,Plaza_P2,irr,N,19642.50
4003,S1,Plaza_P3,irr,N,19642.50
4004,S1,Plaza_P4,irr,N,19642.50
4005,S1,Plaza_P5,irr,N,19642.50
4006,S1,Plaza_P6,irr,N,19642.50
4007,S1,Plaza_P7,irr,N,19642.50
4008,S1,Plaza_P8,irr,N,19642.50
4009,S1,Plaza_P9,irr,N,19642.50
4010,S1,Plaza_P10,irr,N,19642.50
5001,S1,Plazoleta_P1,irr,N,2629.70
5002,S1,Plazoleta_P2,irr,N,2629.70
5003,S1,Plazoleta_P3,irr,N,2629.70
5004,S1,Plazoleta_P4,irr,N,2629.70
5005,S1,Plazoleta_P5,irr,N,2629.70
5006,S1,Plazoleta_P6,irr,N,2629.70
5007,S1,Plazoleta_P7,irr,N,2629.70
5008,S1,Plazoleta_P8,irr,N,2629.70
5009,S1,Plazoleta_P9,irr,N,2629.70
5010,S1,Plazoleta_P10,irr,N,2629.70
6001,S1,Parque_P1,irr,P,14464.40
6002,S1,Parque_P2,irr,P,14464.40
6003,S1,Parque_P3,irr,P,14464.40
6004,S1,Parque_P4,irr,P,14464.40
6005,S1,Parque_P5,irr,P,14464.40
6006,S1,Parque_P6,irr,P,14464.40
6007,S1,Parque_P7,irr,P,14464.40
6008,S1,Parque_P8,irr,P,14464.40
6009,S1,Parque_P9,irr,P,14464.40
6010,S1,Parque_P10,irr,P,14464.40
7001,S1,Paseo_P1,irr,N,2472.20
7002,S1,Paseo_P2,irr,N,2472.20
7003,S1,Paseo_P3,irr,N,2472.20
7004,S1,Paseo_P4,irr,N,2472.20
7005,S1,Paseo_P5,irr,N,2472.20
7006,S1,Paseo_P6,irr,N,2472.20
7007,S1,Paseo_P7,irr,N,2472.20
7008,S1,Paseo_P8,irr,N,2472.20
7009,S1,Paseo_P9,irr,N,2472.20
7010,S1,Paseo_P10,irr,N,2472.20
8001,S2,Veredón_P1,irr,N,2944.20
8002,S2,Veredón_P2,irr,N,2944.20
8003,S2,Veredón_P3,irr,N,2944.20
8004,S2,Veredón_P4,irr,N,2944.20
8005,S2,Veredón_P5,irr,N,2944.20
8006,S2,Veredón_P6,irr,N,2944.20
8007,S2,Veredón_P7,irr,N,2944.20
8008,S2,Veredón_P8,irr,N,2944.20
8009,S2,Veredón_P9,irr,N,2944.20
8010,S2,Veredón_P10,irr,N,2944.20
9001,S2,Bandejón_P1,irr,N,5088.80
9002,S2,Bandejón_P2,irr,N,5088.80
9003,S2,Bandejón_P3,irr,N,5088.80
9004,S2,Bandejón_P4,irr,N,5088.80
9005,S2,Bandejón_P5,irr,N,5088.80
9006,S2,Bandejón_P6,irr,N,5088.80
9007,S2,Bandejón_P7,irr,N,5088.80
9008,S2,Bandejón_P8,irr,N,5088.80
9009,S2,Bandejón_P9,irr,N,5088.80
9010,S2,Bandejón_P10,irr,N,5088.80
10001,S2,Jardines_P1,irr,N,15296.50
10002,S2,Jardines_P2,irr,N,15296.50
10003,S2,Jardines_P3,irr,N,15296.50
10004,S2,Jardines_P4,irr,N,15296.50
10005,S2,Jardines_P5,irr,N,15296.50
10006,S2,Jardines_P6,irr,N,15296.50
10007,S2,Jardines_P7,irr,N,15296.50
10008,S2,Jardines_P8,irr,N,15296.50
10009,S2,Jardines_P9,irr,N,15296.50
10010,S2,Jardines_P10,irr,N,15296.50
11001,S2,Plaza_P1,irr,N,18546.00
11002,S2,Plaza_P2,irr,N,18546.00
11003,S2,Plaza_P3,irr,N,18546.00
11004,S2,Plaza_P4,irr,N,18546.00
11005,S2,Plaza_P5,irr,N,18546.00
11006,S2,Plaza_P6,irr,N,18546.00
11007,S2,Plaza_P7,irr,N,18546.00
11008,S2,Plaza_P8,irr,N,18546.00
11009,S2,Plaza_P9,irr,N,18546.00
11010,S2,Plaza_P10,irr,N,18546.00
12001,S2,Plazoleta_P1,irr,N,2308.70
12002,S2,Plazoleta_P2,irr,N,2308.70
12003,S2,Plazoleta_P3,irr,N,2308.70
12004,S2,Plazoleta_P4,irr,N,2308.70
12005,S2,Plazoleta_P5,irr,N,2308.70
12006,S2,Plazoleta_P6,irr,N,2308.70
12007,S2,Plazoleta_P7,irr,N,2308.70
12008,S2,Plazoleta_P8,irr,N,2308.70
12009,S2,Plazoleta_P9,irr,N,2308.70
12010,S2,Plazoleta_P10,irr,N,2308.70
13001,S2,Parque_P1,irr,P,9867.70
13002,S2,Parque_P2,irr,P,9867.70
13003,S2,Parque_P3,irr,P,9867.70
13004,S2,Parque_P4,irr,P,9867.70
13005,S2,Parque_P5,irr,P,9867.70
13006,S2,Parque_P6,irr,P,9867.70
13007,S2,Parque_P7,irr,P,9867.70
13008,S2,Parque_P8,irr,P,9867.70
13009,S2,Parque_P9,irr,P,9867.70
13010,S2,Parque_P10,irr,P,9867.70
14001,S2,Otros_P1,irr,N,53.00
14002,S2,Otros_P2,irr,N,53.00
14003,S2,Otros_P3,irr,N,53.00
14004,S2,Otros_P4,irr,N,53.00
14005,S2,Otros_P5,irr,N,53.00
14006,S2,Otros_P6,irr,N,53.00
14007,S2,Otros_P7,irr,N,53.00
